N,P,K,temperature,humidity,ph,rainfall,wind_speed,soil_moisture,crop_type,yield_index
78.0,49.0,42.0,24.6,81.1,6.8,197.2,12.3,19.0,jute,92.2
84.0,71.0,48.0,27.7,80.7,6.18,112.3,10.0,56.3,banana,98
140,13.0,70.0,23.3,82.1,5.68,10,13.4,30.0,muskmelon,49.9
116.0,16.0,42.0,27.9,93.8,6.38,19.4,10.5,30.7,muskmelon,96.2
99.0,47.0,21.0,20.8,75.3,6.23,22.5,18.8,35.3,coffee,49.1
140,36.0,17.0,29.0,65.2,7.86,10,8.9,47.7,cotton,72.7
35.0,60.0,35.0,32.6,27.9,7.04,75.6,12.2,39.8,pigeonpeas,50.4
140,5,205,41.0,87.8,8.12,289.6,18.1,41.5,mungbean,27.3
90.0,47.0,19.0,21.5,64.5,6.46,94.8,18.6,47.1,maize,93.8
32.0,63.0,80.0,22.0,65.8,5.56,159.4,11.8,34.5,banana,47.3
19.0,65.0,20.0,28.0,47.6,5.9,148.4,15.2,46.3,pigeonpeas,94.8
77.0,38.0,36.0,20.3,44.3,7.96,288.8,23.2,44.2,coffee,52.4
102.0,46.0,22.0,23.6,79.8,6.71,72.2,17.0,74.9,cotton,90.9
53.0,60.0,25.0,29.3,64.9,6.94,68.7,4.2,47.5,blackgram,89.9
0.0,21.0,185.0,41.8,17.1,3.75,10,2.9,54.7,pigeonpeas,21.0
18.0,81.0,16.0,33.1,29.5,5.91,84.4,14.4,38.5,pigeonpeas,72.4
6.0,24.0,42.0,32.1,75.4,7.93,29.6,14.7,41.8,lentil,36.0
22.0,145,126.0,17.8,100,5.18,163.4,12.6,25.5,apple,64.0
105.0,67.0,53.0,28.3,82.2,6.05,100.1,9.2,36.4,banana,94.7
19.0,12.0,39.0,22.7,93.9,5.82,111.0,8.8,71.7,pomegranate,92.1
4.0,38.0,30.0,33.1,69.1,8.01,84.9,13.0,57.5,mothbeans,51.3
16.0,44.0,20.0,29.2,52.7,6.74,51.7,20.9,62.0,mothbeans,95.6
14.0,103.0,18.0,30.6,21.6,4.46,273.1,10.2,43.3,pigeonpeas,56.1
14.0,145,205,8,99.0,3.52,300,10.5,37.3,pomegranate,42.2
3.0,145,150.0,27.9,100,7.04,15.8,15.5,54.4,apple,45.8
27.0,65.0,23.0,28.2,50.3,5.69,126.8,9.3,50.3,pigeonpeas,93.7
0,11.0,27.0,42.6,100,8.64,10,17.6,48.9,coconut,52.5
25.0,66.0,18.0,17.6,23.9,5.98,105.1,17.9,44.7,kidneybeans,93.3
16.0,134.0,195.0,8,99.4,8.85,280.5,9.1,76.4,pigeonpeas,31.3
67.0,40.0,5,23.2,80.1,7.35,137.9,18.0,49.2,blackgram,41.5
37.0,80.0,205,21.0,97.4,6.44,127.2,18.6,53.1,grapes,52.8
140,8.0,27.0,19.3,100,6.3,10,15.4,85.7,muskmelon,51.3
122.0,11.0,5,39.2,94.8,8.33,248.3,14.2,47.1,papaya,32.6
63.0,9.0,61.0,28.8,76.1,7.71,52.1,12.8,58.9,muskmelon,54.5
22.0,29.0,36.0,30.7,47.7,5.95,94.5,9.4,56.6,mango,93.7
140,55.0,11.0,33.9,94.2,6.33,153.8,14.9,48.8,cotton,62.0
43.0,8.0,71.0,33.2,100,6.95,40.7,17.5,38.4,muskmelon,54.4
22.0,145,204.0,22.0,91.3,5.6,90.9,9.9,57.1,apple,98
140,13.0,72.0,35.6,75.8,5.33,25.3,9.0,55.5,muskmelon,49.3
4.0,131.0,33.0,40.6,14,8.22,10,13.7,37.9,mothbeans,29.0
17.0,67.0,15.0,26.9,52.4,5.68,154.1,11.3,62.9,pigeonpeas,93.6
66.0,32.0,69.0,37.4,100,5.23,37.6,4.5,34.9,muskmelon,45.6
92.0,59.0,35.0,28.4,92.3,7.59,114.1,9.9,30.9,cotton,74.1
113.0,5,186.0,11.9,86.9,8.88,300,7.4,35.2,jute,29.5
23.0,20.0,11.0,21.9,91.6,6.87,116.7,14.9,54.2,orange,97.3
35.0,73.0,72.0,17.4,16.9,7.78,77.9,11.7,32.5,chickpea,97.1
10.0,5,5,42.0,14,8.35,300,19.3,37.0,maize,23.2
44.0,14.0,8.0,19.5,66.5,7.32,300,13.6,30.7,rice,57.9
10.0,27.0,32.0,33.3,100,7.23,20.5,12.6,58.4,mungbean,61.7
19.0,24.0,42.0,21.1,90.4,6.0,121.3,3.3,59.8,pomegranate,98
48.0,73.0,84.0,20.9,18.2,7.46,72.5,19.3,52.3,chickpea,94.2
17.0,17.0,29.0,27.9,95.7,6.05,159.5,16.5,61.3,coconut,92.1
3.0,19.0,194.0,10.6,14.3,4.19,10,16.8,60.1,pigeonpeas,24.5
41.0,46.0,132.0,13.8,14,7.88,36.8,20.0,66.6,chickpea,72.8
44.0,145,17.0,40.2,14,3.71,14.6,11.0,53.1,grapes,33.0
36.0,74.0,22.0,28.4,65.9,7.44,85.2,13.4,56.8,blackgram,96.7
123.0,122.0,15.0,42.9,100,4.06,44.2,19.7,46.7,coconut,34.7
0,145,191.0,12.0,100,8.84,10,11.2,23.5,cotton,20.7
102.0,48.0,12.0,25.0,80.1,6.79,65.7,12.8,46.3,cotton,94.5
79.0,42.0,33.0,23.8,81.0,6.82,192.0,9.5,61.0,jute,94.1
102.0,78.0,59.0,27.8,77.0,5.92,91.0,10.2,36.0,banana,92.4
26.0,15.0,8.0,22.8,90.0,7.01,115.2,6.4,46.8,orange,95.4
2.0,39.0,29.0,21.8,35.0,6.44,25.5,2,69.6,chickpea,40.0
97.0,145,5,42.5,90.6,3.99,10,13.0,70.9,chickpea,19.5
32.0,26.0,40.0,36.2,70.0,7.43,138.7,14.2,50.5,mango,51.5
22.0,61.0,14.0,24.8,65.4,6.95,39.4,3.6,19.3,lentil,95.6
69.0,41.0,19.0,23.9,68.2,6.25,84.6,13.6,31.9,maize,95.3
33.0,145,205,9.3,98.6,8.92,25.0,11.2,75.5,banana,19.6
72.0,143.0,205.0,12.6,91.8,8.55,300,5.4,42.7,chickpea,25.3
125.0,82.0,46.0,28.4,78.5,5.91,114.8,12.0,60.0,banana,95.3
66.0,95.0,74.0,39.3,100,5.47,48.8,10.8,73.4,papaya,41.5
140,120.0,5,39.7,14,8.43,266.9,24.0,48.5,orange,32.1
87.0,44.0,41.0,25.0,79.5,6.53,199.8,16.6,56.6,jute,96.1
66.0,16.0,48.0,26.7,86.6,6.53,61.2,12.4,40.6,watermelon,89.4
32.0,72.0,24.0,29.2,67.2,7.23,77.5,15.5,67.7,blackgram,95.8
140,122.0,89.0,22.7,98.8,6.54,18.7,16.6,35.0,banana,40.7
96.0,81.0,48.0,28.0,86.5,6.08,93.9,19.0,73.7,banana,91.0
19.0,40.0,18.0,26.6,79.4,6.72,52.0,24.4,48.8,mungbean,95.1
113.0,29.0,21.0,25.9,55.3,6.53,173.6,20.8,40.4,coffee,90.7
103.0,96.0,57.0,29.0,82.5,5.82,106.5,12.0,38.1,banana,94.8
0,14.0,205,9.3,17.5,8.13,285.5,14.4,52.7,maize,25.9
136.0,45.0,42.0,19.1,80.1,7.08,59.8,9.4,64.1,coffee,42.8
24.0,55.0,12.0,15.1,14,6.13,155.7,8.4,58.5,kidneybeans,86.2
23.0,72.0,17.0,27.3,49.5,6.03,170.5,15.2,61.9,pigeonpeas,98
20.0,72.0,22.0,19.2,23.7,5.84,84.2,14.3,36.8,kidneybeans,95.1
63.0,69.0,38.0,21.3,63.5,7.86,144.8,15.2,61.5,cotton,45.0
57.0,5,5,24.4,75.2,5.26,46.7,14.0,38.5,muskmelon,25.8
20.0,132.0,192.0,22.6,92.3,5.76,107.8,8.0,81.1,apple,93.3
19.0,45.0,19.0,25.7,51.0,7.11,52.6,15.1,64.2,mothbeans,94.8
140,142.0,205,44,96.9,8.56,58.5,3.4,40.8,watermelon,38.0
53.0,48.0,30.0,25.8,73.6,7.85,20.3,14.5,45.9,blackgram,69.3
133.0,18.0,205,44,100,8.74,22.0,5.1,43.0,kidneybeans,20.1
12.0,71.0,25.0,24.3,81.1,5.48,96.5,10.8,53.1,mothbeans,45.6
16.0,48.0,20.0,28.9,85.0,6.52,51.3,3.0,51.2,mungbean,95.8
28.0,145,205,24.4,82.9,6.21,64.4,13.4,56.5,grapes,93.4
33.0,86.0,37.0,17.5,83.6,7.72,77.3,5.8,31.5,lentil,41.3
14.0,5,25.0,41.4,14,4.16,244.7,20.3,39.3,lentil,40.9
25.0,23.0,38.0,20.2,91.6,6.19,98.2,12.1,12.5,pomegranate,92.3
13.0,85.0,25.0,9.6,14,4.59,234.2,16.1,50.6,kidneybeans,60.3
19.0,69.0,17.0,24.4,64.2,6.91,40.8,10.0,49.2,lentil,93.3
0.0,33.0,205,41.8,14,3.95,10,15.8,41.9,mothbeans,29.6
58.0,13.0,5,19.2,72.3,7.84,92.0,9.6,50.7,coffee,32.7
80.0,5,43.0,21.0,47.5,6.22,279.2,8.4,49.6,coffee,45.0
9.0,25.0,31.0,24.6,69.2,6.72,95.8,13.2,51.8,mungbean,55.7
89.0,47.0,42.0,23.6,83.1,6.38,249.4,11.1,62.4,rice,96.3
84.0,39.0,27.0,23.2,80.4,6.58,247.6,5.9,62.7,rice,92.5
13.0,107.0,97.0,22.6,100,5.97,28.3,6.4,65.9,apple,58.4
20.0,67.0,15.0,25.3,66.9,7.03,42.9,21.1,56.5,lentil,97.8
130.0,5,205,44,17.0,8.54,10,18.5,46.0,cotton,31.6
89.0,87.0,38.0,32.8,100,6.85,170.5,13.1,79.2,banana,60.7
52.0,75.0,23.0,29.1,64.0,7.28,79.5,17.6,51.0,blackgram,93.2
1.0,5,31.0,9.6,100,3.53,278.7,10.1,49.8,blackgram,24.1
38.0,11.0,50.0,25.1,35.4,6.36,13.3,9.7,33.9,mango,40.4
127.0,53.0,13.0,17.0,41.8,5.9,32.7,11.3,35.5,maize,72.6
140,128.0,35.0,41.2,100,8.24,242.9,13.6,39.7,watermelon,30.5
31.0,7.0,25.0,20.1,78.9,5.15,38.8,9.2,35.8,pomegranate,47.2
13.0,70.0,17.0,18.8,20.3,5.83,97.4,4.0,40.1,kidneybeans,94.5
56.0,20.0,40.0,26.6,79.7,5.53,10,12.5,33.6,muskmelon,61.7
21.0,15.0,32.0,26.5,95.2,5.61,180.1,2,36.5,coconut,95.9
19.0,136.0,205,43.1,14.8,8.58,10,13.3,48.1,banana,21.9
32.0,66.0,15.0,28.8,54.9,7.27,132.8,12.2,49.9,maize,80.2
48.0,145,179.0,11.7,100,3.89,279.9,17.1,25.5,jute,34.4
96.0,93.0,46.0,28.9,80.9,5.94,118.7,9.5,43.5,banana,93.7
33.0,42.0,21.0,24.4,28.6,5.19,129.7,10.7,29.3,mango,54.1
17.0,28.0,28.0,30.1,48.4,5.91,88.4,11.0,29.1,mango,92.7
60.0,62.0,49.0,33.6,96.9,6.91,125.5,19.3,47.5,papaya,93.7
40.0,9.0,17.0,17.7,41.3,6.01,43.7,10.9,78.4,lentil,46.3
15.0,145,168.0,10.8,14,4.09,300,14.3,46.0,jute,16.8
19.0,51.0,22.0,27.8,84.4,6.71,61.7,19.0,31.3,mungbean,98.0
18.0,5,187.0,41.5,15.1,4.54,16.1,23.7,51.5,coconut,35.5
135.0,5,15.0,8.2,91.8,3.91,290.5,16.3,52.9,muskmelon,39.4
7.0,15.0,8.0,11.1,14,8.51,257.0,10.7,62.5,coconut,30.9
0,5,201.0,12.7,14,7.96,75.3,6.4,67.1,coffee,24.2
45.0,69.0,205,20.6,63.2,6.19,140.4,8.1,31.1,grapes,50.8
25.0,16.0,38.0,28.1,94.7,6.15,185.9,15.5,24.6,coconut,98
37.0,5,15.0,9.2,14,8.28,10,3.3,47.4,kidneybeans,41.0
46.0,103.0,39.0,14.6,14,6.1,145.4,11.0,52.9,chickpea,50.3
38.0,39.0,23.0,23.8,69.2,6.95,202.3,11.9,38.9,pigeonpeas,56.0
59.0,48.0,52.0,33.5,91.8,6.61,153.1,20.4,63.5,papaya,96.7
140,17.0,5,8.6,95.4,4.01,279.6,18.9,48.2,kidneybeans,23.9
31.0,15.0,182.0,9.4,14,8.62,297.5,19.3,33.6,cotton,18.1
23.0,75.0,20.0,27.2,47.1,5.76,146.8,11.6,52.0,pigeonpeas,96.3
25.0,19.0,30.0,27.7,93.9,6.23,161.1,18.3,39.1,coconut,95.7
58.0,62.0,7.0,28.9,62.3,6.92,63.1,11.4,69.4,blackgram,79.7
23.0,17.0,34.0,27.2,53.7,6.45,156.4,15.3,49.9,maize,63.8
5.0,15.0,7.0,18.0,85.6,6.37,164.9,11.9,41.3,orange,63.6
14.0,19.0,6.0,26.9,100,7.04,175.8,8.4,53.8,orange,75.6
62.0,5,38.0,20.3,100,7.44,29.0,11.9,29.3,muskmelon,53.6
108.0,35.0,24.0,27.0,80.5,6.64,164.7,19.8,61.6,maize,85.1
79.0,42.0,34.0,23.9,81.7,6.72,187.5,19.1,64.2,jute,91.1
133.0,145,8.0,11.0,14.0,3.94,37.7,21.8,34.8,chickpea,36.9
17.0,10.0,11.0,28.1,73.4,7.46,74.7,15.7,59.1,orange,74.6
0,5,205,10.5,100,4.39,18.0,10.2,56.7,jute,22.6
82.0,44.0,43.0,23.8,80.3,6.75,249.9,11.2,40.4,rice,93.4
28.0,90.0,6.0,21.9,81.2,5.98,69.7,17.4,55.7,lentil,55.3
16.0,16.0,50.0,22.8,87.8,5.97,108.2,16.9,41.0,pomegranate,89.1
14.0,95.0,10.0,13.0,35.9,6.37,22.2,15.4,53.8,kidneybeans,52.7
33.0,75.0,25.0,30.0,63.3,7.2,79.0,17.5,42.9,blackgram,94.7
17.0,20.0,40.0,22.1,88.8,5.84,91.6,18.4,66.3,pomegranate,94.9
25.0,132.0,184.0,25.0,83.8,6.09,51.6,19.7,38.3,grapes,98
97.0,24.0,34.0,26.0,61.2,6.86,166.0,19.3,60.4,coffee,92.1
0,145,5,10.5,14.0,8.62,25.7,15.1,61.1,rice,18.4
140,5,5,10.2,20.5,8.53,10,12.9,45.5,mungbean,25.0
34.0,145,169.0,14.6,75.4,6.76,13.7,13.8,13.0,apple,45.3
47.0,61.0,55.0,33.9,94.5,6.81,146.2,12.9,48.0,papaya,95.0
21.0,132.0,167.0,25.0,80.1,6.31,69.5,12.7,64.8,grapes,96.6
101.0,75.0,53.0,26.5,78.8,5.78,123.8,10.4,40.9,banana,96.5
13.0,19.0,8.0,23.6,91.1,7.41,122.3,13.7,38.1,orange,92.4
28.0,41.0,33.0,26.6,76.0,8.35,116.0,12.4,51.2,blackgram,55.7
92.0,18.0,46.0,26.0,86.3,6.29,47.5,9.5,48.0,watermelon,92.5
140,145,5,39.6,16.3,3.96,280.6,11.1,48.3,kidneybeans,32.0
0,31.0,63.0,34.4,70.4,7.28,20.7,8.0,54.4,mango,43.0
22.0,63.0,20.0,20.3,20.2,5.88,104.5,7.3,13.7,kidneybeans,96.5
140,37.0,31.0,31.2,65.9,7.06,157.0,11.0,53.7,banana,45.6
18.0,18.0,12.0,21.9,93.3,7.02,84.5,12.1,62.0,orange,95.0
22.0,67.0,18.0,26.1,64.4,6.57,48.3,10.5,46.7,lentil,96.3
26.0,16.0,22.0,27.6,94.2,5.8,183.2,13.6,46.4,coconut,96.8
21.0,5,192.0,9.9,94.3,3.85,281.2,14.4,51.5,kidneybeans,32.4
137.0,145.0,11.0,42.8,98.6,4.09,282.2,15.2,54.5,papaya,26.6
9.0,145,83.0,31.4,69.1,5.18,121.3,18.8,66.0,grapes,34.7
100.0,18.0,47.0,28.0,92.8,6.56,33.6,15.9,53.7,muskmelon,96.5
23.0,42.0,16.0,28.3,87.4,6.77,39.4,11.6,34.2,mungbean,96.7
19.0,114.0,202.0,21.4,92.0,6.29,115.2,9.8,51.3,apple,95.4
24.0,70.0,18.0,27.9,51.6,5.66,140.1,25.1,62.3,pigeonpeas,92.4
140,38.0,23.0,18.5,66.5,7.59,140.2,17.1,62.8,cotton,70.6
39.0,31.0,42.0,23.1,80.4,5.34,300,12.1,47.2,coconut,37.6
18.0,124.0,199.0,24.5,81.1,6.23,86.3,21.7,86.3,grapes,94.1
42.0,66.0,58.0,34.0,92.3,6.71,147.4,3.3,46.7,papaya,98
47.0,74.0,83.0,17.8,16.9,7.19,90.1,13.8,11.4,chickpea,94.3
117.0,5,195.0,38.1,97.6,8.85,10,7.9,61.5,coffee,27.9
140,132.0,19.0,40.0,100,3.72,298.0,13.5,32.0,grapes,30.1
96.0,110.0,205,42.7,14,8.66,10,17.6,36.0,mango,19.2
18.0,17.0,45.0,21.2,90.9,6.01,110.7,22.1,33.2,pomegranate,93.8
43.0,36.0,61.0,31.6,62.8,7.15,217.4,26.5,65.9,jute,60.5
27.0,76.0,76.0,40.7,100,5.42,10.2,10.3,56.2,papaya,42.3
25.0,63.0,113.0,16.7,100,7.12,207.3,13.8,41.4,apple,37.8
53.0,9.0,9.0,19.2,70.1,6.49,79.1,18.7,47.0,watermelon,43.5
20.0,87.0,130.0,18.2,100,7.02,24.0,7.2,33.4,apple,49.5
113.0,19.0,49.0,25.5,85.6,6.51,45.4,9.4,50.4,watermelon,95.4
68.0,46.0,40.0,22.6,81.6,6.46,228.0,8.2,38.6,rice,98
140,70.0,7.0,28.6,95.8,6.0,118.3,8.5,66.1,cotton,55.1
38.0,67.0,24.0,29.3,67.7,7.05,67.1,20.8,48.9,blackgram,97.3
21.0,5,5,8,14,8.74,279.3,3.3,46.2,blackgram,29.2
124.0,136.0,202.0,42.3,14,3.88,39.5,16.1,65.2,chickpea,35.6
87.0,67.0,52.0,27.2,83.3,5.87,114.5,14.1,29.7,banana,93.1
39.0,5,205,41.6,95.5,8.3,10,8.7,32.0,banana,22.3
90.0,59.0,24.0,23.0,64.4,6.08,73.1,14.7,43.1,maize,94.5
21.0,124.0,186.0,22.5,91.9,6.24,91.0,18.8,11.4,apple,93.6
84.0,75.0,32.0,26.4,48.1,6.43,43.1,7.1,53.1,maize,76.0
17.0,23.0,32.0,22.1,90.5,6.06,106.5,10.9,21.7,pomegranate,94.2
54.0,34.0,16.0,32.4,84.4,7.35,101.2,8.4,49.4,blackgram,67.8
26.0,60.0,24.0,26.3,97.9,7.86,72.5,2,43.4,mungbean,72.9
19.0,43.0,14.0,28.8,88.1,6.85,45.3,9.9,62.9,mungbean,92.6
117.0,50.0,24.0,25.5,82.1,6.83,90.8,10.0,37.3,cotton,96.9
108.0,35.0,15.0,30.7,98.7,6.73,82.2,16.1,65.0,rice,58.4
46.0,37.0,106.0,25.1,32.5,7.95,123.8,2,43.2,chickpea,56.9
74.0,56.0,47.0,24.4,78.8,6.68,200.6,9.4,51.7,jute,93.3
30.0,46.0,65.0,23.0,38.6,7.74,118.6,11.0,73.7,chickpea,74.0
74.0,35.0,22.0,29.4,62.5,6.13,132.3,12.7,58.1,cotton,62.6
39.0,90.0,24.0,14.1,37.2,4.9,168.6,10.2,65.5,kidneybeans,52.4
21.0,16.0,25.0,27.7,97.6,5.98,175.9,6.6,64.4,coconut,95.4
53.0,51.0,64.0,20.4,65.0,5.89,46.3,4.5,75.2,jute,50.3
44.0,68.0,78.0,17.9,17.5,7.07,91.3,13.6,42.1,chickpea,95.6
53.0,62.0,39.0,33.1,94.6,6.74,120.6,10.6,58.3,papaya,95.1
111.0,47.0,25.0,24.7,82.7,6.95,87.7,10.8,48.4,cotton,94.5
37.0,109.0,13.0,17.0,77.5,6.07,72.1,5.0,10,lentil,39.1
140,13.0,20.0,22.1,74.3,7.46,10,20.6,47.6,coffee,53.4
44.0,16.0,59.0,29.4,100,5.06,10,18.4,33.2,muskmelon,65.1
16.0,16.0,37.0,21.6,89.9,5.82,114.5,16.5,36.4,pomegranate,95.4
21.0,32.0,13.0,33.5,61.4,4.79,255.3,10.3,60.4,pigeonpeas,54.8
94.0,13.0,51.0,28.0,92.1,6.43,15.6,10.5,52.3,muskmelon,91.8
128.0,123.0,192.0,42.8,16.8,8.57,14.3,7.2,53.6,rice,25.0
36.0,82.0,97.0,41.0,100,5.77,246.3,7.3,47.1,papaya,45.9
42.0,5,29.0,38.9,14,8.9,300,6.4,27.3,coconut,30.7
0,38.0,35.0,26.5,63.4,7.0,213.8,5.8,48.8,mango,57.1
16.0,5,6.0,16.2,100,8.4,43.7,13.9,33.1,orange,53.1
28.0,56.0,20.0,28.5,85.7,6.81,43.7,15.1,42.2,mungbean,98
36.0,59.0,14.0,29.1,64.4,7.16,58.0,15.2,60.4,blackgram,96.7
78.0,61.0,16.0,23.2,64.4,6.19,71.9,14.8,45.5,maize,95.9
12.0,30.0,9.0,17.9,50.5,7.89,72.4,6.6,34.8,lentil,42.3
100.0,139.0,186.0,43.8,100,8.57,16.0,5.1,46.4,mungbean,26.5
140,31.0,70.0,29.9,100,7.03,10,18.9,61.0,watermelon,48.7
0,19.0,26.0,20.1,100,6.87,300,7.1,55.3,coconut,55.4
19.0,43.0,20.0,27.7,55.4,6.85,52.0,21.1,31.0,mothbeans,91.0
61.0,35.0,33.0,26.7,50.3,6.7,26.1,14.9,59.5,blackgram,48.9
16.0,35.0,14.0,25.5,63.7,5.89,27.4,16.7,63.0,mango,61.5
41.0,74.0,26.0,29.7,59.2,7.23,64.6,13.1,44.4,blackgram,94.6
35.0,83.0,118.0,19.3,92.6,6.93,122.3,8.1,54.8,grapes,39.1
117.0,51.0,20.0,24.1,78.4,6.78,105.7,21.2,64.6,cotton,93.5
140,55.0,62.0,22.1,66.1,4.79,80.2,9.5,44.1,banana,57.6
10.0,14.0,5,28.7,100,7.75,213.7,9.7,19.9,orange,60.2
42.0,21.0,49.0,31.4,100,6.89,96.6,18.6,54.4,coconut,54.4
17.0,130.0,192.0,23.3,92.7,5.84,99.3,11.3,71.5,apple,96.5
99.0,17.0,54.0,27.7,93.0,6.48,26.3,16.9,58.6,muskmelon,93.1
29.0,145,115.0,19.8,67.8,6.9,108.8,10.9,50.6,grapes,55.5
74.0,22.0,47.0,27.0,83.2,6.41,51.7,12.1,53.3,watermelon,91.8
35.0,58.0,27.0,31.3,62.1,4.76,102.6,2,34.0,pigeonpeas,72.2
21.0,15.0,31.0,27.7,95.7,6.24,196.8,15.2,65.1,coconut,98
106.0,31.0,29.0,25.1,57.5,6.92,176.9,14.3,31.1,coffee,94.6
3.0,15.0,13.0,34.2,63.4,5.65,99.0,6.7,40.2,mungbean,39.4
24.0,13.0,11.0,23.2,90.0,7.1,90.8,5.0,42.5,orange,95.9
14.0,145,10.0,9.0,91.6,3.67,268.0,15.2,74.8,chickpea,20.6
14.0,70.0,24.0,28.4,43.8,5.62,151.7,13.5,36.9,pigeonpeas,98
17.0,28.0,42.0,27.7,87.7,5.95,76.7,14.8,66.9,lentil,44.2
37.0,27.0,53.0,16.3,67.4,6.96,23.6,6.5,20.9,rice,54.7
47.0,5,200.0,8.3,97.1,8.11,300,2,60.3,muskmelon,34.2
36.0,25.0,5,14.0,14,6.99,165.7,13.8,42.0,kidneybeans,44.1
20.0,71.0,17.0,18.1,22.9,5.44,101.2,8.3,39.0,kidneybeans,93.0
140,51.0,42.0,20.2,79.2,5.96,191.0,15.4,33.7,coffee,44.2
23.0,129.0,5,40.7,21.6,4.13,262.5,5.5,67.1,maize,24.3
18.0,45.0,6.0,42.0,17.6,8.55,45.3,9.7,65.2,mungbean,57.5
34.0,75.0,32.0,35.0,33.5,6.31,76.5,8.1,59.6,mothbeans,49.8
140,27.0,24.0,20.8,71.5,5.95,217.8,9.1,52.2,coffee,61.0
32.0,74.0,60.0,17.1,17.5,7.17,76.2,4.6,39.0,chickpea,89.0
99.0,26.0,26.0,24.6,59.0,7.02,181.2,2.5,53.2,coffee,96.2
